name,z,blazar_class,RA J2000,Dec J2000,ITC spectral distribution line wavelength [micron],ITC point source brightness band,ITC point source spatially integrated brightness [AB mag],catalog magnitude [Vega mag],catalog magnitude uncertainty [mag],catalog/source,ITC continuum flux density [erg/s/cm^2/A],continuum reference wavelength [micron],continuum target wavelength [micron],assumed continuum alpha_nu,continuum extrapolation factor,ITC line flux [erg/s/cm^2],ITC line width FWHM [km/s],assumed EW_rest [A],GNIRS spectroscopy window containing Mg II,notes/cautions
J001115+144601,4.960000,y,00:11:15.24,+14:46:01.8,1.668055,H,17.908833,16.529833,0.030630,UKIDSS LAS AperMag3,2.711352e-17,1.631000,1.668055,-0.440000,0.965562,4.847897e-15,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.668um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J012202+030951,4.000000,y,01:22:01.90,+03:10:02.41,1.399375,H,20.277643,18.898643,0.185513,UKIDSS LAS AperMag3,4.023950e-18,1.631000,1.399375,-0.440000,1.269904,6.035925e-16,4000.000000,30.000000,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; preferred J-band 값이 없어 H-band로 continuum 보정; continuum은 H-band 중심 1.631um에서 Mg II 1.399um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J012714-445445,4.960000,y,01:27:14.32,-44:54:45.17,1.668055,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J013127-032100,5.180000,y,01:31:27.34,-03:21:00.2,1.729627,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J014132-542749,5.000000,y,01:41:32.4,-54:27:49.9,1.679250,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J020916-562650,5.606000,y,02:09:16.93,-56:26:50.44,1.848854,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J021043-001818,4.770000,y,02:10:43.16,-00:18:18.4,1.614879,H,19.159632,17.780632,0.098871,UKIDSS LAS AperMag3,9.011895e-18,1.631000,1.614879,-0.440000,1.015617,1.559959e-15,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.615um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J025758+433837,4.070000,y,02:57:59.08,+43:38:37.71,1.418966,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J030947+271757,6.100000,y,03:09:47.49,+27:17:57.31,1.987112,,,,,,,,,,,,,,K,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J032214-184117,6.090000,y,03:22:14.55,-18:41:17.48,1.984314,,,,,,,,,,,,,,K,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J032444-291821,4.630000,y,03:24:44.29,-29:18:21.22,1.575696,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J041009-013919,6.995000,y,04:10:09.05,-01:39:19.88,2.237601,,,,,,,,,,,,,,K,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J052506-334305,4.383000,y,05:25:06.18,-33:43:05.5,1.506567,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J081333+350810,4.922000,y,08:13:33.32,+35:08:10.8,1.657420,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J083548+182519,4.410000,y,08:35:49.42,+18:25:20.09,1.514124,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J083946+511202,4.400000,y,08:39:46.22,+51:12:02.8,1.511325,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J085111+142337,4.307000,y,08:51:11.59,+14:23:37.7,1.485297,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J090132+161506,5.630000,y,09:01:32.65,+16:15:06.84,1.855571,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J090630+693030,5.470000,y,09:06:30.75,+69:30:30.80,1.810791,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J091824+063653,4.220000,y,09:18:24.38,+06:36:53.3,1.460947,H,18.539145,17.160145,0.027614,UKIDSS LAS AperMag3,1.865861e-17,1.631000,1.460947,-0.440000,1.187403,2.921938e-15,4000.000000,30.000000,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; continuum은 H-band 중심 1.631um에서 Mg II 1.461um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J094004+052630,4.500000,y,09:40:04.8,+05:26:30.99,1.539312,,,,,,,,,,,,,,H,UKIDSS HAperMag3 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J101335+281119,4.750000,y,10:13:35.44,+28:11:19.24,1.609281,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J102107+220904,4.260000,y,10:21:07.57,+22:09:21.45,1.472142,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J102623+254259,5.250000,y,10:26:23.62,+25:42:59.44,1.749219,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J102838-084438,4.276000,y,10:28:38.80,-08:44:38.6,1.476620,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J114657+403708,5.005000,y,11:46:57.79,+40:37:08.66,1.680649,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J115503-310758,4.300000,y,11:55:03.16,-31:07:58.7,1.483337,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J123142+381658,4.137000,y,12:31:42.17,+38:16:58.9,1.437718,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J123503-000331,4.723000,y,12:35:03.03,-00:03:31.7,1.601725,K,19.957400,18.057400,0.176571,UKIDSS LAS AperMag3,3.836871e-18,2.201000,1.601725,-0.440000,1.641838,6.587524e-16,4000.000000,30.000000,H,preferred H-band 값이 없어 K-band로 continuum 보정; brightness band K는 Mg II spectroscopy window H와 다름; continuum은 K-band 중심 2.201um에서 Mg II 1.602um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J125359-405930,4.464000,y,12:53:59.53,-40:59:30.7,1.529237,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J130940+573309,4.280000,y,13:09:40.70,+57:33:09.9,1.477740,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J132206-132354,4.710000,y,13:22:06.46,-13:23:54.71,1.598086,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J132512+112329,4.420000,y,13:25:12.49,+11:23:29.8,1.516922,H,18.740940,17.361940,0.038244,UKIDSS LAS AperMag3,1.461128e-17,1.631000,1.516922,-0.440000,1.119761,2.375794e-15,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.517um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J134811+193520,4.400000,y,13:48:11.25,+19:35:23.64,1.511325,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J141212+062408,4.470000,y,14:12:09.97,+06:24:06.88,1.530916,H,19.349518,17.970518,0.100947,UKIDSS LAS AperMag3,8.223103e-18,1.631000,1.530916,-0.440000,1.103834,1.349411e-15,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.531um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J142048+120545,4.020000,y,14:20:48.01,+12:05:45.9,1.404972,H,19.183932,17.804932,0.068900,UKIDSS LAS AperMag3,1.095047e-17,1.631000,1.404972,-0.440000,1.262020,1.649141e-15,4000.000000,30.000000,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; preferred J-band 값이 없어 H-band로 continuum 보정; continuum은 H-band 중심 1.631um에서 Mg II 1.405um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J143023+420450,4.720000,y,14:30:23.73,+42:04:36.51,1.600885,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J145459+110927,4.930000,y,14:54:59.30,+11:09:27.89,1.659659,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J151002+570243,4.310000,y,15:10:02.92,+57:02:43.4,1.486136,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J153533+025419,4.390000,y,15:35:33.88,+02:54:23.38,1.508526,H,19.571953,18.192953,0.107396,UKIDSS LAS AperMag3,6.855569e-18,1.631000,1.508526,-0.440000,1.129499,1.108545e-15,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.509um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J162956+095959,5.000000,y,16:29:57.28,+10:00:23.49,1.679250,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J164856+460341,5.360000,y,16:48:54.53,+46:03:27.3,1.780005,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J165913+210115,4.784000,y,16:59:13.23,+21:01:15.8,1.618797,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J170245+130104,5.466000,y,17:02:45.31,+13:01:02.28,1.809672,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J171103+383016,4.000000,y,17:11:05.52,+38:30:04.30,1.399375,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J171521+214547,4.010000,y,17:15:21.26,+21:45:31.65,1.402174,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J172026+310431,4.670000,y,17:20:26.68,+31:04:31.6,1.586891,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J195135+013442,4.110000,y,19:51:36.02,+01:34:42.7,1.430161,,,,,,,,,,,,,,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J213412-041909,4.334000,y,21:34:12.02,-04:19:09.7,1.492853,,,,,,,,,,,,,,H,UKIDSS LAS match 없음; NED 후보 조회는 기본 실행에서 생략(--with-ned-fallback 사용 시 확인); 선택 밴드 관측값이 없으므로 ITC 값 비움
J222032+002537,4.200000,y,22:20:32.49,+00:25:37.5,1.455350,H,19.290045,17.911045,0.100276,UKIDSS LAS AperMag3,9.399829e-18,1.631000,1.455350,-0.440000,1.194535,1.466373e-15,4000.000000,30.000000,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; continuum은 H-band 중심 1.631um에서 Mg II 1.455um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J231449+020146,4.110000,y,23:14:48.71,+02:01:51.08,1.430161,H,19.148661,17.769661,0.072779,UKIDSS LAS AperMag3,1.100277e-17,1.631000,1.430161,-0.440000,1.227517,1.686725e-15,4000.000000,30.000000,,Mg II 관측파장이 GNIRS J/H/K spectroscopy window 밖/edge이므로 실제 ITC 실행은 별도 확인 필요; continuum은 H-band 중심 1.631um에서 Mg II 1.430um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
J235758+140205,4.350000,y,23:57:58.55,+14:02:01.83,1.497331,H,19.814684,18.435684,0.139351,UKIDSS LAS AperMag3,5.546227e-18,1.631000,1.497331,-0.440000,1.142700,8.901694e-16,4000.000000,30.000000,H,continuum은 H-band 중심 1.631um에서 Mg II 1.497um로 f_nu∝nu^-0.44 보정; line flux는 실제 Mg II 측정값이 아니라 EW_rest 가정값으로 계산
